"","markov_cycle",".strategy_names","value_names","value","id"
"4.14",14,"I","cost",1269.49364976812,"4.14"
"4.15",15,"I","cost",1221.76142901826,"4.15"
"4.16",16,"I","cost",1175.66823648847,"4.16"
"4.17",17,"I","cost",1131.04662529566,"4.17"
"4.18",18,"I","cost",1087.85754828634,"4.18"
"4.19",19,"I","cost",1046.11439464319,"4.19"
"4.20",20,"I","cost",1005.74267984974,"4.20"
"4.21",21,"I","cost",966.637106211184,"4.21"
"4.22",22,"I","cost",928.745825727683,"4.22"
"4.23",23,"I","cost",892.005250956923,"4.23"
"4.24",24,"I","cost",856.398902960728,"4.24"
"4.25",25,"I","cost",821.796105766268,"4.25"
"4.26",26,"I","cost",788.258049854057,"4.26"
"4.27",27,"I","cost",755.647069486452,"4.27"
"4.28",28,"I","cost",723.899813991636,"4.28"
"4.29",29,"I","cost",693.091630538356,"4.29"
"4.30",30,"I","cost",663.138315077289,"4.30"
"4.31",31,"I","cost",634.003840817238,"4.31"
"4.32",32,"I","cost",605.693389585327,"4.32"
"4.33",33,"I","cost",578.195972552567,"4.33"
"4.34",34,"I","cost",551.608142468632,"4.34"
"4.35",35,"I","cost",525.616775041406,"4.35"
"4.36",36,"I","cost",500.192001625309,"4.36"
"4.37",37,"I","cost",475.27558556625,"4.37"
"4.38",38,"I","cost",450.900121004279,"4.38"
"4.39",39,"I","cost",427.036643370039,"4.39"
"4.40",40,"I","cost",403.411076511946,"4.40"
"4.41",41,"I","cost",380.235528259067,"4.41"
"4.42",42,"I","cost",357.406315773599,"4.42"
"4.43",43,"I","cost",335.10764183533,"4.43"
"4.44",44,"I","cost",313.231493304213,"4.44"
"4.45",45,"I","cost",291.815639853323,"4.45"
"4.46",46,"I","cost",270.759933278893,"4.46"
"4.47",47,"I","cost",250.024063738029,"4.47"
"4.48",48,"I","cost",229.410902532127,"4.48"
"4.49",49,"I","cost",209.261833394856,"4.49"
"4.50",50,"I","cost",189.363659595068,"4.50"
"4.51",51,"I","cost",169.979887664285,"4.51"
"4.52",52,"I","cost",151.11873213414,"4.52"
"4.53",53,"I","cost",132.865472352749,"4.53"
"4.54",54,"I","cost",115.521911342528,"4.54"
"4.55",55,"I","cost",99.086734639622,"4.55"
"4.56",56,"I","cost",83.7460802121141,"4.56"
"4.57",57,"I","cost",69.6252743211636,"4.57"
"4.58",58,"I","cost",56.8323943142479,"4.58"
"4.59",59,"I","cost",45.5810496064,"4.59"
"4.60",60,"I","cost",35.6846291721209,"4.60"
"4.61",61,"I","cost",27.1944307967706,"4.61"
"4.62",62,"I","cost",20.301502567195,"4.62"
"4.63",63,"I","cost",14.767556093441,"4.63"
"4.64",64,"I","cost",10.5113119197765,"4.64"
"4.65",65,"I","cost",7.22127877996847,"4.65"
"4.66",66,"I","cost",4.77977082550645,"4.66"
"4.67",1,"I","utility",879.227053140097,"4.67"
"4.68",2,"I","utility",848.748959764824,"4.68"
"4.69",3,"I","utility",819.329189446301,"4.69"
"4.70",4,"I","utility",790.884086276123,"4.70"
"4.71",5,"I","utility",763.330290045579,"4.71"
"4.72",6,"I","utility",736.69074977759,"4.72"
"4.73",7,"I","utility",710.898377747718,"4.73"
"4.74",8,"I","utility",685.959600584013,"4.74"
"4.75",9,"I","utility",661.814541147199,"4.75"
"4.76",10,"I","utility",638.467597201325,"4.76"
"4.77",11,"I","utility",575.235244343191,"4.77"
"4.78",12,"I","utility",554.760434263337,"4.78"
"4.79",13,"I","utility",534.956288371998,"4.79"
"4.80",14,"I","utility",515.778023743394,"4.80"
